,ID,OPERATION,DETECTION_TIME,DESCRIPTION,USER_ID,VERSION_1,VERSION_2
1,1,insert,2022-05-25 19:43:22.919523,Students:     Student:       ID: 10 ,2,https://raw.githubusercontent.com/alex-randles/Change-Detection-System-Examples/main/characters_V1.xml,https://raw.githubusercontent.com/alex-randles/Change-Detection-System-Examples/main/characters_V2.xml
2,2,insert,2022-05-25 19:43:22.919523,LastName: Williams ,2,https://raw.githubusercontent.com/alex-randles/Change-Detection-System-Examples/main/characters_V1.xml,https://raw.githubusercontent.com/alex-randles/Change-Detection-System-Examples/main/characters_V2.xml
3,3,insert,2022-05-25 19:43:22.919523,test2:  		  djhsdhs 	   ,2,https://raw.githubusercontent.com/alex-randles/Change-Detection-System-Examples/main/characters_V1.xml,https://raw.githubusercontent.com/alex-randles/Change-Detection-System-Examples/main/characters_V2.xml
4,4,insert,2022-05-25 19:43:22.919523,test3:  		  djhsdhs 	   ,2,https://raw.githubusercontent.com/alex-randles/Change-Detection-System-Examples/main/characters_V1.xml,https://raw.githubusercontent.com/alex-randles/Change-Detection-System-Examples/main/characters_V2.xml
5,5,insert,2022-05-25 19:43:22.919523,test56:  		  djhsdhs 	   ,2,https://raw.githubusercontent.com/alex-randles/Change-Detection-System-Examples/main/characters_V1.xml,https://raw.githubusercontent.com/alex-randles/Change-Detection-System-Examples/main/characters_V2.xml
6,6,insert,2022-05-25 19:43:22.919523,test55:  		  djhsdhs 	   ,2,https://raw.githubusercontent.com/alex-randles/Change-Detection-System-Examples/main/characters_V1.xml,https://raw.githubusercontent.com/alex-randles/Change-Detection-System-Examples/main/characters_V2.xml
7,7,insert,2022-05-25 19:43:22.919523,test99:  		  djhsdhs 	   ,2,https://raw.githubusercontent.com/alex-randles/Change-Detection-System-Examples/main/characters_V1.xml,https://raw.githubusercontent.com/alex-randles/Change-Detection-System-Examples/main/characters_V2.xml
8,8,insert,2022-05-25 19:43:22.919523,Student:       ID: 11 ,2,https://raw.githubusercontent.com/alex-randles/Change-Detection-System-Examples/main/characters_V1.xml,https://raw.githubusercontent.com/alex-randles/Change-Detection-System-Examples/main/characters_V2.xml
9,9,insert,2022-05-25 19:43:22.919523,FirstName: Fernando ,2,https://raw.githubusercontent.com/alex-randles/Change-Detection-System-Examples/main/characters_V1.xml,https://raw.githubusercontent.com/alex-randles/Change-Detection-System-Examples/main/characters_V2.xml
10,10,insert,2022-05-25 19:43:22.919523,LastName: Alonso ,2,https://raw.githubusercontent.com/alex-randles/Change-Detection-System-Examples/main/characters_V1.xml,https://raw.githubusercontent.com/alex-randles/Change-Detection-System-Examples/main/characters_V2.xml
11,11,insert,2022-05-25 19:43:22.919523,Test: Villa ,2,https://raw.githubusercontent.com/alex-randles/Change-Detection-System-Examples/main/characters_V1.xml,https://raw.githubusercontent.com/alex-randles/Change-Detection-System-Examples/main/characters_V2.xml
12,12,insert,2022-05-25 19:43:22.919523,Test1: Villa ,2,https://raw.githubusercontent.com/alex-randles/Change-Detection-System-Examples/main/characters_V1.xml,https://raw.githubusercontent.com/alex-randles/Change-Detection-System-Examples/main/characters_V2.xml
13,13,insert,2022-05-25 19:43:22.919523,Test2: Villa ,2,https://raw.githubusercontent.com/alex-randles/Change-Detection-System-Examples/main/characters_V1.xml,https://raw.githubusercontent.com/alex-randles/Change-Detection-System-Examples/main/characters_V2.xml
14,14,insert,2022-05-25 19:43:22.919523,Student:       ID: 12 ,2,https://raw.githubusercontent.com/alex-randles/Change-Detection-System-Examples/main/characters_V1.xml,https://raw.githubusercontent.com/alex-randles/Change-Detection-System-Examples/main/characters_V2.xml
15,15,insert,2022-05-25 19:43:22.919523,FirstName: David ,2,https://raw.githubusercontent.com/alex-randles/Change-Detection-System-Examples/main/characters_V1.xml,https://raw.githubusercontent.com/alex-randles/Change-Detection-System-Examples/main/characters_V2.xml
16,16,insert,2022-05-25 19:43:22.919523,LastName: Villa ,2,https://raw.githubusercontent.com/alex-randles/Change-Detection-System-Examples/main/characters_V1.xml,https://raw.githubusercontent.com/alex-randles/Change-Detection-System-Examples/main/characters_V2.xml
17,17,insert,2022-05-25 19:43:22.919523,Testing: Villa ,2,https://raw.githubusercontent.com/alex-randles/Change-Detection-System-Examples/main/characters_V1.xml,https://raw.githubusercontent.com/alex-randles/Change-Detection-System-Examples/main/characters_V2.xml
18,18,insert,2022-05-25 19:43:22.919523,Testing2: Villa ,2,https://raw.githubusercontent.com/alex-randles/Change-Detection-System-Examples/main/characters_V1.xml,https://raw.githubusercontent.com/alex-randles/Change-Detection-System-Examples/main/characters_V2.xml
19,19,insert,2022-05-25 19:43:22.919523,Testing3: Villa ,2,https://raw.githubusercontent.com/alex-randles/Change-Detection-System-Examples/main/characters_V1.xml,https://raw.githubusercontent.com/alex-randles/Change-Detection-System-Examples/main/characters_V2.xml
20,20,delete,2022-05-25 19:43:22.919523,FirstName: Venus ,2,https://raw.githubusercontent.com/alex-randles/Change-Detection-System-Examples/main/characters_V1.xml,https://raw.githubusercontent.com/alex-randles/Change-Detection-System-Examples/main/characters_V2.xml
